name,country,currentFormPointsAfter2022_2023,currentFormPointsAfter2023_2024,currentFormPointsAfter2024_2025,currentFormPointsAfter2025_2026,currentFormPointsAfter2026_2027
Tom Ford,"England",1714.9225975749373,2059.813353088053,1794.7253752588229,1867.1434183114673,1848.2106297504213
Stephen Hendry,"Scotland",943.465900330683,924.0054222885907,924.0054222885907,924.0054222885907,924.0054222885907
Ian Martin,England,1190.735358987181,1190.735358987181,1190.735358987181,1190.735358987181,1337.9731585796283
Jeff Cundy,England,1500.0,1500.0,1500.0,1500.0,1377.841993131233
Ali Hussain Ali,Iraq,1500.0,1500.0,1385.9934625487765,1385.9934625487765,1385.9934625487765
Bulcsú Révész,Hungary,1300.7819001911057,1328.2217689096594,1310.9101370002495,1610.4411984679755,1610.4411984679755
Michael Holt,England,1559.4047182269244,1434.7394893631727,1692.7424291918692,1641.698494978123,1716.0238063791196
Ken Doherty,"Ireland",1468.1768710100469,1348.7902215038464,1266.35736309702,1318.826183849595,1318.826183849595
Ahmed Abdullah Aseeri,Saudi Arabia,1500.0,1500.0,1461.4439951130937,1413.4681200815126,1413.4681200815126
Liam Graham,Scotland,1350.0553071350266,1199.386014344192,1293.095876589222,1181.9266809949672,1303.9471035952915
Saleh Alamoudi,Saudi Arabia,1500.0,1500.0,1385.6486099585402,1385.6486099585402,1385.6486099585402
Brad Ferguson,Wales,1313.2509888258953,1313.2509888258953,1313.2509888258953,1313.2509888258953,1313.2509888258953
Mark Lloyd,England,1500.0,1500.0,1500.0,1328.8224507056345,1328.8224507056345
Ryan Day,"Wales",1927.4344676417861,2031.563025697698,1839.8172299015912,1629.664404515415,1503.8421151704767
Florian Nüßle,Austria,1551.1479539503166,1497.2853968745253,1550.5268304414692,1409.5315362922368,1556.6282566564853
Jamie Gardiner,Northern Ireland,1500.0,1500.0,1504.1599170335862,1504.1599170335862,1504.1599170335862
Martin O'Donnell,England,1580.905879426491,1530.4473572719614,1490.1807185156922,1736.069295695188,1372.9020513669134
Prin Ratmukda,Thailand,1500.0,1500.0,1500.0,1442.3651132924476,1442.3651132924476
Mahmoud El-Hareedy,Egypt,1500.0,1500.0,1500.0,1172.2694056430169,1324.8405089929195
Jonas Luz,Brazil,1500.0,1500.0,1039.6827983653748,992.9337474139598,992.9337474139598
Saud Albaker,Saudi Arabia,1500.0,1500.0,1500.0,1392.6768916923058,1392.6768916923058
Mark Williams,"Wales",2039.563663190114,2383.758300261046,2679.9040705670877,2080.176122911917,2189.7898849053067
Wu Shengguang,China,1500.0,1500.0,1500.0,1500.0,1434.7507004285987
Hamim Hussain,England,1500.0,1500.0,1550.9405848176111,1550.9405848176111,1550.9405848176111
Xu Jiarui,China,1500.0,1500.0,1500.0,1496.6000226140175,1589.846185883906
Luca Brecel,"Belgium",2684.481675314833,2104.508276836932,2470.358645189583,1769.0608788864072,1668.379997421049
Rebecca Kenna,"England",807.1332959064877,768.7392672307858,768.7392672307858,768.7392672307858,768.7392672307858
Fergal O'Brien,"Ireland",1211.9477026136096,1254.4497813184894,1254.4497813184894,1254.4497813184894,1254.4497813184894
Huang Hao,China,1500.0,1500.0,1398.4119532896557,1398.4119532896557,1398.4119532896557
Chatchapong Nasa,Thailand,1500.0,1500.0,1500.0,1345.1300815885588,1364.5923553186196
David Lilley,"England",1549.6089521306196,1543.9653159785075,1541.7263764342188,1542.996572325699,1448.3344469597407
Michael White,"Wales",1504.8201607461442,1685.8499468281104,1567.6280972365532,1567.6280972365532,1567.6280972365532
Riley Powell,Wales,1503.8369047488443,1285.0314483175246,1467.840200225111,1465.2204744824523,1465.2204744824523
Yuan Sijun,"China",1674.698575490574,1830.2737896942938,1770.9293450184878,1764.9487719308918,1691.0766388965988
Mohammed Al Joker,United Arab Emirates,1500.0,1500.0,1500.0,1423.3297930697386,1423.3297930697386
Ziyad Al Qabbani,Saudi Arabia,1500.0,1500.0,1420.3423253343874,1433.146879234331,1433.146879234331
Dechawat Poomjaeng,"Thailand",1341.0412275475992,1341.0412275475992,1341.0412275475992,1341.0412275475992,1341.0412275475992
Oliver Lines,"England",1694.6915415038009,1481.0601383702958,1583.559377593049,1468.8534218202428,1436.661940860444
Jianbo Zhao,China,1646.0441362936717,1646.0441362936717,1646.0441362936717,1646.0441362936717,1646.0441362936717
Michael Judge,"Ireland",1131.9524159391015,1131.9524159391015,1131.9524159391015,1131.9524159391015,1131.9524159391015
Bradley Cowdroy,England,1500.0,1451.652373555198,1451.652373555198,1451.652373555198,1451.652373555198
Joshua Cooper,England,1500.0,1500.0,1243.9288468440855,1243.9288468440855,1243.9288468440855
Ian Burns,"England",1485.8804373060411,1587.7695976031566,1707.392319229632,1461.3604309351763,1575.2738020057616
Sion Stuart,Wales,1500.0,1500.0,1484.7077715665978,1484.7077715665978,1484.7077715665978
Ayaan Iqbal,Scotland,1500.0,1500.0,1464.665084334542,1464.665084334542,1464.665084334542
Louis Heathcote,"England",1507.2324177641046,1903.0583983441372,1493.4475043543662,1546.0374318745432,1598.23310984662
Jack Borwick,Scotland,1492.4372812713318,1394.3341225250028,1411.1484153915148,1460.1774256279273,1460.1774256279273
Ben Woollaston,"England",1603.7431899603116,1745.741464374942,1963.15010323248,1571.7756774485256,1422.3702976291063
Cai Wei,China,1500.0,1500.0,1416.9980465192396,1416.9980465192396,1416.9980465192396
Allan Taylor,"England",1418.7956541155377,1433.244180570186,1465.9746863663981,1429.3348442301067,1400.407362081826
Stephen Maguire,"Scotland",1641.765956948263,2073.3281033005455,1605.4460611913587,1699.6683214512416,1635.932204020597
Rod Lawler,"England",1341.6257364705007,1316.2715034289738,1316.2715034289738,1316.2715034289738,1316.2715034289738
Michal Szubarczyk,Poland,1500.0,1500.0,1405.8938470033468,1349.6756288891618,1254.9773744112351
Rory McLeod,Jamaica,1485.8357051886928,1379.165932628982,1409.7943402262968,1409.7943402262968,1409.7943402262968
Ben Hancorn,England,1486.9295946163304,1486.9295946163304,1486.9295946163304,1486.9295946163304,1486.9295946163304
Mitchell Mann,"England",1238.0921938507915,1238.0921938507915,1667.2095998395162,1354.3126001614003,1365.0085175056333
Krzysztof Czapnik,Poland,1500.0,1500.0,1500.0,1384.6720214526263,1384.6720214526263
Victor Sarkis,"Brazil",856.7180471440761,806.0394768004111,806.0394768004111,806.0394768004111,806.0394768004111
Ma Hailong,China,1300.1910009819337,1440.8340423655452,1288.4124144350017,1288.4124144350017,1288.4124144350017
Zheng Dian,China,1500.0,1500.0,1495.0300579924544,1495.0300579924544,1495.0300579924544
David Grace,"England",1828.6524808146658,1478.2691413068471,1618.7304398583067,1431.8660053428066,1642.2173952656415
Robbie Mcguigan,Northern Ireland,1398.837517582958,1385.0084707586961,1373.2454498262505,1440.8591180998785,1440.8591180998785
Zack Richardson,England,1500.0,1500.0,1452.1963992288133,1531.4205539093052,1531.4205539093052
Sean Maddocks,England,1500.0,1500.0,1500.0,1500.0,1517.326049642087
Mateusz Baranowski,Poland,1500.0,1500.0,1345.6274391196423,1427.3318137235735,1485.7311032452005
Zak Surety,"England",1373.0158284447741,1558.7739374931575,2068.478969056671,1566.6924857471743,1610.718177743864
Farakh Ajaib,England,1277.3659814990017,1277.3659814990017,1363.6523281457708,1306.543099221808,1306.543099221808
